UC ID,Service Group,Agency,Use Case / Decision Moment,Key Technical Specs,Source Anchors,Description (EN),Description (TH)
UC-21,S04,DDPM,Disaster Declaration Justification Certificate,"Variables: Hazard Magnitude, Area Affected, Impact Magnitude (Death/Injured/Damage) | Resolution: District / Sub-district","DDPM, S1, Matrix-R11, S4-2","This use case is designed for DDPM to facilitate the 'Disaster Declaration Justification Certificate'. It is primarily driven by decision moments such as Ministry of Finance Relief Fund Activation, Disaster Zone Declaration. The service provides critical intelligence products, requiring specific data parameters including Hazard Magnitude, Area Affected, Impact Magnitude (Death/Injured/Damage) at a District / Sub-district resolution. Ultimately, this ensures that the agency can effectively execute its mandates with officially verified evidence.","กรณีการใช้งานนี้ถูกออกแบบมาสำหรับ กรมป้องกันและบรรเทาสาธารณภัย (ปภ.) เพื่อสนับสนุนการดำเนินงานด้าน 'Disaster Declaration Justification Certificate' โดยมีเงื่อนไขสำคัญที่กระตุ้นให้เกิดการตัดสินใจคือ Ministry of Finance Relief Fund Activation, Disaster Zone Declaration ระบบจะส่งมอบข้อมูลอัจฉริยะที่ประกอบด้วย Hazard Magnitude, Area Affected, Impact Magnitude (Death/Injured/Damage) ในระดับความละเอียด District / Sub-district เพื่อให้หน่วยงานสามารถปฏิบัติภารกิจและตัดสินใจเชิงนโยบายหรือปฏิบัติการได้อย่างมีประสิทธิภาพ บนพื้นฐานของข้อมูลที่ได้รับการรับรองความถูกต้อง"
UC-22,S04,DDPM,Sectoral Impact Valuation,"Variables: Damage Proxy Values, Physical Loss Statistics, Sendai Sectoral Categories | Resolution: Sectoral / National","DDPM, S1, Matrix-R11, Raw-G1-8, Raw-G5-61","This use case is designed for DDPM to facilitate the 'Sectoral Impact Valuation'. It is primarily driven by decision moments such as Sendai Framework Reporting, Macro-economic Loss Synthesis. The service provides critical intelligence products, requiring specific data parameters including Damage Proxy Values, Physical Loss Statistics, Sendai Sectoral Categories at a Sectoral / National resolution. Ultimately, this ensures that the agency can effectively execute its mandates with officially verified evidence.","กรณีการใช้งานนี้ถูกออกแบบมาสำหรับ กรมป้องกันและบรรเทาสาธารณภัย (ปภ.) เพื่อสนับสนุนการดำเนินงานด้าน 'Sectoral Impact Valuation' โดยมีเงื่อนไขสำคัญที่กระตุ้นให้เกิดการตัดสินใจคือ Sendai Framework Reporting, Macro-economic Loss Synthesis ระบบจะส่งมอบข้อมูลอัจฉริยะที่ประกอบด้วย Damage Proxy Values, Physical Loss Statistics, Sendai Sectoral Categories ในระดับความละเอียด Sectoral / National เพื่อให้หน่วยงานสามารถปฏิบัติภารกิจและตัดสินใจเชิงนโยบายหรือปฏิบัติการได้อย่างมีประสิทธิภาพ บนพื้นฐานของข้อมูลที่ได้รับการรับรองความถูกต้อง"
UC-23,S02,NSO,EA-level Population Exposure Analytics,"Variables: Population Count, Household Type, Housing Material | Resolution: Enumeration Area (EA) ~250 buildings","NSO, S1, Matrix-R12, Raw-G2-32","This use case is designed for NSO to facilitate the 'EA-level Population Exposure Analytics'. It is primarily driven by decision moments such as Risk Map Exposure Layer Generation, Social Vulnerability Mapping. The service provides critical intelligence products, requiring specific data parameters including Population Count, Household Type, Housing Material at a Enumeration Area (EA) ~250 buildings resolution. Ultimately, this ensures that the agency can effectively execute its mandates with officially verified evidence.","กรณีการใช้งานนี้ถูกออกแบบมาสำหรับ สำนักงานสถิติแห่งชาติ (สสช.) เพื่อสนับสนุนการดำเนินงานด้าน 'EA-level Population Exposure Analytics' โดยมีเงื่อนไขสำคัญที่กระตุ้นให้เกิดการตัดสินใจคือ Risk Map Exposure Layer Generation, Social Vulnerability Mapping ระบบจะส่งมอบข้อมูลอัจฉริยะที่ประกอบด้วย Population Count, Household Type, Housing Material ในระดับความละเอียด Enumeration Area (EA) ~250 buildings เพื่อให้หน่วยงานสามารถปฏิบัติภารกิจและตัดสินใจเชิงนโยบายหรือปฏิบัติการได้อย่างมีประสิทธิภาพ บนพื้นฐานของข้อมูลที่ได้รับการรับรองความถูกต้อง"
UC-24,S01,NSO,Consolidated Official Dataset,"Variables: Environment Statistics (FDES), Official Sectoral Baselines, Metatdata standards | Resolution: Varies","NSO, S1, Matrix-R12, Raw-G5-77, Raw-G5-81","This use case is designed for NSO to facilitate the 'Consolidated Official Dataset'. It is primarily driven by decision moments such as International Data Requests, Official Statistics Mandate. The service provides critical intelligence products, requiring specific data parameters including Environment Statistics (FDES), Official Sectoral Baselines, Metatdata standards at a Varies resolution. Ultimately, this ensures that the agency can effectively execute its mandates with officially verified evidence.","กรณีการใช้งานนี้ถูกออกแบบมาสำหรับ สำนักงานสถิติแห่งชาติ (สสช.) เพื่อสนับสนุนการดำเนินงานด้าน 'Consolidated Official Dataset' โดยมีเงื่อนไขสำคัญที่กระตุ้นให้เกิดการตัดสินใจคือ International Data Requests, Official Statistics Mandate ระบบจะส่งมอบข้อมูลอัจฉริยะที่ประกอบด้วย Environment Statistics (FDES), Official Sectoral Baselines, Metatdata standards ในระดับความละเอียด Varies เพื่อให้หน่วยงานสามารถปฏิบัติภารกิจและตัดสินใจเชิงนโยบายหรือปฏิบัติการได้อย่างมีประสิทธิภาพ บนพื้นฐานของข้อมูลที่ได้รับการรับรองความถูกต้อง"
UC-25,S06,DOH,Health Risk Surveillance System,"Variables: Heat Index, Disease Vector Density, Respiratory Risk Index | Resolution: Sub-district / Health District","DOH, S1, Matrix-R13, S6-3","This use case is designed for DOH to facilitate the 'Health Risk Surveillance System'. It is primarily driven by decision moments such as Epidemiological Alert Cycle, National Health Risk Advisories. The service provides critical intelligence products, requiring specific data parameters including Heat Index, Disease Vector Density, Respiratory Risk Index at a Sub-district / Health District resolution. Ultimately, this ensures that the agency can effectively execute its mandates with officially verified evidence.","กรณีการใช้งานนี้ถูกออกแบบมาสำหรับ กรมอนามัย เพื่อสนับสนุนการดำเนินงานด้าน 'Health Risk Surveillance System' โดยมีเงื่อนไขสำคัญที่กระตุ้นให้เกิดการตัดสินใจคือ Epidemiological Alert Cycle, National Health Risk Advisories ระบบจะส่งมอบข้อมูลอัจฉริยะที่ประกอบด้วย Heat Index, Disease Vector Density, Respiratory Risk Index ในระดับความละเอียด Sub-district / Health District เพื่อให้หน่วยงานสามารถปฏิบัติภารกิจและตัดสินใจเชิงนโยบายหรือปฏิบัติการได้อย่างมีประสิทธิภาพ บนพื้นฐานของข้อมูลที่ได้รับการรับรองความถูกต้อง"
UC-26,S06,DOH,Heat-Stress Mortality Projections,"Variables: Wet Bulb Globe Temperature (WBGT), Mortality Coefficients, Vulnerable Demographic Count | Resolution: Regional / Provincial","DOH, S1, Matrix-R13, S6-3","This use case is designed for DOH to facilitate the 'Heat-Stress Mortality Projections'. It is primarily driven by decision moments such as Health Resource Allocation, Climate-Health Master Plan Update. The service provides critical intelligence products, requiring specific data parameters including Wet Bulb Globe Temperature (WBGT), Mortality Coefficients, Vulnerable Demographic Count at a Regional / Provincial resolution. Ultimately, this ensures that the agency can effectively execute its mandates with officially verified evidence.","กรณีการใช้งานนี้ถูกออกแบบมาสำหรับ กรมอนามัย เพื่อสนับสนุนการดำเนินงานด้าน 'Heat-Stress Mortality Projections' โดยมีเงื่อนไขสำคัญที่กระตุ้นให้เกิดการตัดสินใจคือ Health Resource Allocation, Climate-Health Master Plan Update ระบบจะส่งมอบข้อมูลอัจฉริยะที่ประกอบด้วย Wet Bulb Globe Temperature (WBGT), Mortality Coefficients, Vulnerable Demographic Count ในระดับความละเอียด Regional / Provincial เพื่อให้หน่วยงานสามารถปฏิบัติภารกิจและตัดสินใจเชิงนโยบายหรือปฏิบัติการได้อย่างมีประสิทธิภาพ บนพื้นฐานของข้อมูลที่ได้รับการรับรองความถูกต้อง"
UC-27,S01,ONEP,Ecosystem Risk Repository,"Variables: Vegetation Indices, Habitat Suitability, Ecosystem Service Maps | Resolution: Park/Protected Area Scale","ONEP, S1, Matrix-R14, S1-2","This use case is designed for ONEP to facilitate the 'Ecosystem Risk Repository'. It is primarily driven by decision moments such as Protected Area Management Plans, National Biodiversity Strategy. The service provides critical intelligence products, requiring specific data parameters including Vegetation Indices, Habitat Suitability, Ecosystem Service Maps at a Park/Protected Area Scale resolution. Ultimately, this ensures that the agency can effectively execute its mandates with officially verified evidence.","กรณีการใช้งานนี้ถูกออกแบบมาสำหรับ สำนักงานนโยบายและแผนทรัพยากรธรรมชาติและสิ่งแวดล้อม (สผ.) เพื่อสนับสนุนการดำเนินงานด้าน 'Ecosystem Risk Repository' โดยมีเงื่อนไขสำคัญที่กระตุ้นให้เกิดการตัดสินใจคือ Protected Area Management Plans, National Biodiversity Strategy ระบบจะส่งมอบข้อมูลอัจฉริยะที่ประกอบด้วย Vegetation Indices, Habitat Suitability, Ecosystem Service Maps ในระดับความละเอียด Park/Protected Area Scale เพื่อให้หน่วยงานสามารถปฏิบัติภารกิจและตัดสินใจเชิงนโยบายหรือปฏิบัติการได้อย่างมีประสิทธิภาพ บนพื้นฐานของข้อมูลที่ได้รับการรับรองความถูกต้อง"
UC-28,S01,ONEP,Climate-Adjusted Biodiversity Baselines,"Variables: Species Range Shifts, Bioclimatic Envelopes, Thermal Thresholds | Resolution: Ecosystem/Ecoregion","ONEP, S1, Matrix-R14, S1-2","This use case is designed for ONEP to facilitate the 'Climate-Adjusted Biodiversity Baselines'. It is primarily driven by decision moments such as EIA/EHIA Guidelines, Climate-Biodiversity Policy Integration. The service provides critical intelligence products, requiring specific data parameters including Species Range Shifts, Bioclimatic Envelopes, Thermal Thresholds at a Ecosystem/Ecoregion resolution. Ultimately, this ensures that the agency can effectively execute its mandates with officially verified evidence.","กรณีการใช้งานนี้ถูกออกแบบมาสำหรับ สำนักงานนโยบายและแผนทรัพยากรธรรมชาติและสิ่งแวดล้อม (สผ.) เพื่อสนับสนุนการดำเนินงานด้าน 'Climate-Adjusted Biodiversity Baselines' โดยมีเงื่อนไขสำคัญที่กระตุ้นให้เกิดการตัดสินใจคือ EIA/EHIA Guidelines, Climate-Biodiversity Policy Integration ระบบจะส่งมอบข้อมูลอัจฉริยะที่ประกอบด้วย Species Range Shifts, Bioclimatic Envelopes, Thermal Thresholds ในระดับความละเอียด Ecosystem/Ecoregion เพื่อให้หน่วยงานสามารถปฏิบัติภารกิจและตัดสินใจเชิงนโยบายหรือปฏิบัติการได้อย่างมีประสิทธิภาพ บนพื้นฐานของข้อมูลที่ได้รับการรับรองความถูกต้อง"
UC-29,S05,DMR,Predictive Geologic Hazard Mapping,"Variables: Landslide Susceptibility, Sinkhole Risk Zones, Soil Stability | Resolution: Site-specific / 1:50,000 Scale","DMR, S1, Matrix-R15","This use case is designed for DMR to facilitate the 'Predictive Geologic Hazard Mapping'. It is primarily driven by decision moments such as Building Permit Restrictions, Geological Safety Zoning. The service provides critical intelligence products, requiring specific data parameters including Landslide Susceptibility, Sinkhole Risk Zones, Soil Stability at a Site-specific / 1:50,000 Scale resolution. Ultimately, this ensures that the agency can effectively execute its mandates with officially verified evidence.","กรณีการใช้งานนี้ถูกออกแบบมาสำหรับ DMR เพื่อสนับสนุนการดำเนินงานด้าน 'Predictive Geologic Hazard Mapping' โดยมีเงื่อนไขสำคัญที่กระตุ้นให้เกิดการตัดสินใจคือ Building Permit Restrictions, Geological Safety Zoning ระบบจะส่งมอบข้อมูลอัจฉริยะที่ประกอบด้วย Landslide Susceptibility, Sinkhole Risk Zones, Soil Stability ในระดับความละเอียด Site-specific / 1:50,000 Scale เพื่อให้หน่วยงานสามารถปฏิบัติภารกิจและตัดสินใจเชิงนโยบายหรือปฏิบัติการได้อย่างมีประสิทธิภาพ บนพื้นฐานของข้อมูลที่ได้รับการรับรองความถูกต้อง"
UC-30,S02,UDDC,Neighborhood-scale Double Vulnerability Maps,"Variables: Physical Risk overlay, Poverty Indicators, Asset Vulnerability | Resolution: Urban Block / Neighborhood","UDDC, S1, Matrix-R16, Raw-G4-46","This use case is designed for UDDC to facilitate the 'Neighborhood-scale Double Vulnerability Maps'. It is primarily driven by decision moments such as Urban Intervention Targeting, Social Support Program Design. The service provides critical intelligence products, requiring specific data parameters including Physical Risk overlay, Poverty Indicators, Asset Vulnerability at a Urban Block / Neighborhood resolution. Ultimately, this ensures that the agency can effectively execute its mandates with officially verified evidence.","กรณีการใช้งานนี้ถูกออกแบบมาสำหรับ ศูนย์ออกแบบและพัฒนาเมือง (UDDC) เพื่อสนับสนุนการดำเนินงานด้าน 'Neighborhood-scale Double Vulnerability Maps' โดยมีเงื่อนไขสำคัญที่กระตุ้นให้เกิดการตัดสินใจคือ Urban Intervention Targeting, Social Support Program Design ระบบจะส่งมอบข้อมูลอัจฉริยะที่ประกอบด้วย Physical Risk overlay, Poverty Indicators, Asset Vulnerability ในระดับความละเอียด Urban Block / Neighborhood เพื่อให้หน่วยงานสามารถปฏิบัติภารกิจและตัดสินใจเชิงนโยบายหรือปฏิบัติการได้อย่างมีประสิทธิภาพ บนพื้นฐานของข้อมูลที่ได้รับการรับรองความถูกต้อง"
UC-31,S03,UDDC,NbS ROI Justification,"Variables: Water Retention Capacity, Heat Mitigation Benefit, Cost of Grey Infrastructure Avoidance | Resolution: Project / Site Level (20cm drone res)","UDDC, S1, Matrix-R16, Raw-G1-17","This use case is designed for UDDC to facilitate the 'NbS ROI Justification'. It is primarily driven by decision moments such as Municipal Budget Approval, NbS Funding Competitions. The service provides critical intelligence products, requiring specific data parameters including Water Retention Capacity, Heat Mitigation Benefit, Cost of Grey Infrastructure Avoidance at a Project / Site Level (20cm drone res) resolution. Ultimately, this ensures that the agency can effectively execute its mandates with officially verified evidence.","กรณีการใช้งานนี้ถูกออกแบบมาสำหรับ ศูนย์ออกแบบและพัฒนาเมือง (UDDC) เพื่อสนับสนุนการดำเนินงานด้าน 'NbS ROI Justification' โดยมีเงื่อนไขสำคัญที่กระตุ้นให้เกิดการตัดสินใจคือ Municipal Budget Approval, NbS Funding Competitions ระบบจะส่งมอบข้อมูลอัจฉริยะที่ประกอบด้วย Water Retention Capacity, Heat Mitigation Benefit, Cost of Grey Infrastructure Avoidance ในระดับความละเอียด Project / Site Level (20cm drone res) เพื่อให้หน่วยงานสามารถปฏิบัติภารกิจและตัดสินใจเชิงนโยบายหรือปฏิบัติการได้อย่างมีประสิทธิภาพ บนพื้นฐานของข้อมูลที่ได้รับการรับรองความถูกต้อง"
UC-32,S01,DGA,GDX Authoritative Exchange Entitlement,"Variables: Data Sharing Permissions, Encryption Keys, User Access Level | Resolution: System-to-system","DGA, S1, Matrix-R17, Raw-G5-63, Raw-G5-67","This use case is designed for DGA to facilitate the 'GDX Authoritative Exchange Entitlement'. It is primarily driven by decision moments such as Digital Government Act (Article 15), G2G Data Sharing Request. The service provides critical intelligence products, requiring specific data parameters including Data Sharing Permissions, Encryption Keys, User Access Level at a System-to-system resolution. Ultimately, this ensures that the agency can effectively execute its mandates with officially verified evidence.","กรณีการใช้งานนี้ถูกออกแบบมาสำหรับ สำนักงานพัฒนารัฐบาลดิจิทัล (สพร.) เพื่อสนับสนุนการดำเนินงานด้าน 'GDX Authoritative Exchange Entitlement' โดยมีเงื่อนไขสำคัญที่กระตุ้นให้เกิดการตัดสินใจคือ Digital Government Act (Article 15), G2G Data Sharing Request ระบบจะส่งมอบข้อมูลอัจฉริยะที่ประกอบด้วย Data Sharing Permissions, Encryption Keys, User Access Level ในระดับความละเอียด System-to-system เพื่อให้หน่วยงานสามารถปฏิบัติภารกิจและตัดสินใจเชิงนโยบายหรือปฏิบัติการได้อย่างมีประสิทธิภาพ บนพื้นฐานของข้อมูลที่ได้รับการรับรองความถูกต้อง"
UC-33,S04,MOTS,Tourism Resilience Info System,"Variables: Tourism Economic Vulnerability, Loss & Damage Data, Sensitivity Analysis | Resolution: Provincial/Destination","G1-C3, G1-C4","This use case is designed for MOTS to facilitate the 'Tourism Resilience Info System'. It is primarily driven by decision moments such as Tourism Recovery Planning. The service provides critical intelligence products, requiring specific data parameters including Tourism Economic Vulnerability, Loss & Damage Data, Sensitivity Analysis at a Provincial/Destination resolution. Ultimately, this ensures that the agency can effectively execute its mandates with officially verified evidence.","กรณีการใช้งานนี้ถูกออกแบบมาสำหรับ MOTS เพื่อสนับสนุนการดำเนินงานด้าน 'Tourism Resilience Info System' โดยมีเงื่อนไขสำคัญที่กระตุ้นให้เกิดการตัดสินใจคือ Tourism Recovery Planning ระบบจะส่งมอบข้อมูลอัจฉริยะที่ประกอบด้วย Tourism Economic Vulnerability, Loss & Damage Data, Sensitivity Analysis ในระดับความละเอียด Provincial/Destination เพื่อให้หน่วยงานสามารถปฏิบัติภารกิจและตัดสินใจเชิงนโยบายหรือปฏิบัติการได้อย่างมีประสิทธิภาพ บนพื้นฐานของข้อมูลที่ได้รับการรับรองความถูกต้อง"
UC-34,S06,DMCR,Real-time Marine Ecosystem Monitoring,"Variables: Sea Surface Temperature, Coral Bleaching Alerts, Water Quality Parameters | Resolution: Coastal Grids / Stations","G1-C10, G3-C3","This use case is designed for DMCR to facilitate the 'Real-time Marine Ecosystem Monitoring'. It is primarily driven by decision moments such as Marine Conservation Action, Pollution Alerts. The service provides critical intelligence products, requiring specific data parameters including Sea Surface Temperature, Coral Bleaching Alerts, Water Quality Parameters at a Coastal Grids / Stations resolution. Ultimately, this ensures that the agency can effectively execute its mandates with officially verified evidence.","กรณีการใช้งานนี้ถูกออกแบบมาสำหรับ DMCR เพื่อสนับสนุนการดำเนินงานด้าน 'Real-time Marine Ecosystem Monitoring' โดยมีเงื่อนไขสำคัญที่กระตุ้นให้เกิดการตัดสินใจคือ Marine Conservation Action, Pollution Alerts ระบบจะส่งมอบข้อมูลอัจฉริยะที่ประกอบด้วย Sea Surface Temperature, Coral Bleaching Alerts, Water Quality Parameters ในระดับความละเอียด Coastal Grids / Stations เพื่อให้หน่วยงานสามารถปฏิบัติภารกิจและตัดสินใจเชิงนโยบายหรือปฏิบัติการได้อย่างมีประสิทธิภาพ บนพื้นฐานของข้อมูลที่ได้รับการรับรองความถูกต้อง"
UC-35,S07,PMUA,Learning Data Repository,"Variables: Area-based Planning Data, Future Hazard Alerts | Resolution: Regional",G2-C1,"This use case is designed for PMUA to facilitate the 'Learning Data Repository'. It is primarily driven by decision moments such as Research Funding Allocation. The service provides critical intelligence products, requiring specific data parameters including Area-based Planning Data, Future Hazard Alerts at a Regional resolution. Ultimately, this ensures that the agency can effectively execute its mandates with officially verified evidence.","กรณีการใช้งานนี้ถูกออกแบบมาสำหรับ PMUA เพื่อสนับสนุนการดำเนินงานด้าน 'Learning Data Repository' โดยมีเงื่อนไขสำคัญที่กระตุ้นให้เกิดการตัดสินใจคือ Research Funding Allocation ระบบจะส่งมอบข้อมูลอัจฉริยะที่ประกอบด้วย Area-based Planning Data, Future Hazard Alerts ในระดับความละเอียด Regional เพื่อให้หน่วยงานสามารถปฏิบัติภารกิจและตัดสินใจเชิงนโยบายหรือปฏิบัติการได้อย่างมีประสิทธิภาพ บนพื้นฐานของข้อมูลที่ได้รับการรับรองความถูกต้อง"
UC-36,S06,ONWR,Integrated Water Management Projections,"Variables: Flood/Drought Forecasts, Water Quality, Economic Loss Assessment | Resolution: Basin Level",G3-C9,"This use case is designed for ONWR to facilitate the 'Integrated Water Management Projections'. It is primarily driven by decision moments such as National Water Command Center Directives. The service provides critical intelligence products, requiring specific data parameters including Flood/Drought Forecasts, Water Quality, Economic Loss Assessment at a Basin Level resolution. Ultimately, this ensures that the agency can effectively execute its mandates with officially verified evidence.","กรณีการใช้งานนี้ถูกออกแบบมาสำหรับ ONWR เพื่อสนับสนุนการดำเนินงานด้าน 'Integrated Water Management Projections' โดยมีเงื่อนไขสำคัญที่กระตุ้นให้เกิดการตัดสินใจคือ National Water Command Center Directives ระบบจะส่งมอบข้อมูลอัจฉริยะที่ประกอบด้วย Flood/Drought Forecasts, Water Quality, Economic Loss Assessment ในระดับความละเอียด Basin Level เพื่อให้หน่วยงานสามารถปฏิบัติภารกิจและตัดสินใจเชิงนโยบายหรือปฏิบัติการได้อย่างมีประสิทธิภาพ บนพื้นฐานของข้อมูลที่ได้รับการรับรองความถูกต้อง"
UC-37,S06,TMD,Localized Flood Risk Maps,"Variables: Water Absorption Thresholds, Localized Rainfall Peaks | Resolution: Sub-district",G3-C10,"This use case is designed for TMD to facilitate the 'Localized Flood Risk Maps'. It is primarily driven by decision moments such as Early Warning Activation. The service provides critical intelligence products, requiring specific data parameters including Water Absorption Thresholds, Localized Rainfall Peaks at a Sub-district resolution. Ultimately, this ensures that the agency can effectively execute its mandates with officially verified evidence.","กรณีการใช้งานนี้ถูกออกแบบมาสำหรับ TMD เพื่อสนับสนุนการดำเนินงานด้าน 'Localized Flood Risk Maps' โดยมีเงื่อนไขสำคัญที่กระตุ้นให้เกิดการตัดสินใจคือ Early Warning Activation ระบบจะส่งมอบข้อมูลอัจฉริยะที่ประกอบด้วย Water Absorption Thresholds, Localized Rainfall Peaks ในระดับความละเอียด Sub-district เพื่อให้หน่วยงานสามารถปฏิบัติภารกิจและตัดสินใจเชิงนโยบายหรือปฏิบัติการได้อย่างมีประสิทธิภาพ บนพื้นฐานของข้อมูลที่ได้รับการรับรองความถูกต้อง"
UC-38,S05,MD,Marine Infrastructure Risk Assessment,"Variables: Sea Level Rise (SLR) Projections, Coastal Erosion Rates | Resolution: Port/Coastal Segment",G4-C7,"This use case is designed for MD to facilitate the 'Marine Infrastructure Risk Assessment'. It is primarily driven by decision moments such as Port Maintenance Regulations, Infrastructure Budget Approval. The service provides critical intelligence products, requiring specific data parameters including Sea Level Rise (SLR) Projections, Coastal Erosion Rates at a Port/Coastal Segment resolution. Ultimately, this ensures that the agency can effectively execute its mandates with officially verified evidence.","กรณีการใช้งานนี้ถูกออกแบบมาสำหรับ MD เพื่อสนับสนุนการดำเนินงานด้าน 'Marine Infrastructure Risk Assessment' โดยมีเงื่อนไขสำคัญที่กระตุ้นให้เกิดการตัดสินใจคือ Port Maintenance Regulations, Infrastructure Budget Approval ระบบจะส่งมอบข้อมูลอัจฉริยะที่ประกอบด้วย Sea Level Rise (SLR) Projections, Coastal Erosion Rates ในระดับความละเอียด Port/Coastal Segment เพื่อให้หน่วยงานสามารถปฏิบัติภารกิจและตัดสินใจเชิงนโยบายหรือปฏิบัติการได้อย่างมีประสิทธิภาพ บนพื้นฐานของข้อมูลที่ได้รับการรับรองความถูกต้อง"
UC-39,S06,HII,EEC Water Scarcity Planning Service,"Variables: Raw Water Sources, Future Scarcity Projections | Resolution: EEC Industrial Zones",G78-C1,"This use case is designed for HII to facilitate the 'EEC Water Scarcity Planning Service'. It is primarily driven by decision moments such as EEC Water Allocation Planning. The service provides critical intelligence products, requiring specific data parameters including Raw Water Sources, Future Scarcity Projections at a EEC Industrial Zones resolution. Ultimately, this ensures that the agency can effectively execute its mandates with officially verified evidence.","กรณีการใช้งานนี้ถูกออกแบบมาสำหรับ HII เพื่อสนับสนุนการดำเนินงานด้าน 'EEC Water Scarcity Planning Service' โดยมีเงื่อนไขสำคัญที่กระตุ้นให้เกิดการตัดสินใจคือ EEC Water Allocation Planning ระบบจะส่งมอบข้อมูลอัจฉริยะที่ประกอบด้วย Raw Water Sources, Future Scarcity Projections ในระดับความละเอียด EEC Industrial Zones เพื่อให้หน่วยงานสามารถปฏิบัติภารกิจและตัดสินใจเชิงนโยบายหรือปฏิบัติการได้อย่างมีประสิทธิภาพ บนพื้นฐานของข้อมูลที่ได้รับการรับรองความถูกต้อง"
UC-40,S02,LDD,Ag-Sector Carbon & Recovery Support,"Variables: Plot-level Rainfall/Temp/Damage, Soil Moisture, Crop Impact | Resolution: Plot-level (Agricultural)","G78-C9, G78-C10","This use case is designed for LDD to facilitate the 'Ag-Sector Carbon & Recovery Support'. It is primarily driven by decision moments such as Agricultural Recovery Policy, Carbon Credit Verification. The service provides critical intelligence products, requiring specific data parameters including Plot-level Rainfall/Temp/Damage, Soil Moisture, Crop Impact at a Plot-level (Agricultural) resolution. Ultimately, this ensures that the agency can effectively execute its mandates with officially verified evidence.","กรณีการใช้งานนี้ถูกออกแบบมาสำหรับ LDD เพื่อสนับสนุนการดำเนินงานด้าน 'Ag-Sector Carbon & Recovery Support' โดยมีเงื่อนไขสำคัญที่กระตุ้นให้เกิดการตัดสินใจคือ Agricultural Recovery Policy, Carbon Credit Verification ระบบจะส่งมอบข้อมูลอัจฉริยะที่ประกอบด้วย Plot-level Rainfall/Temp/Damage, Soil Moisture, Crop Impact ในระดับความละเอียด Plot-level (Agricultural) เพื่อให้หน่วยงานสามารถปฏิบัติภารกิจและตัดสินใจเชิงนโยบายหรือปฏิบัติการได้อย่างมีประสิทธิภาพ บนพื้นฐานของข้อมูลที่ได้รับการรับรองความถูกต้อง"
