Thailand NFCS Action Plan (Propose),,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,สีเขียว: มีการทำแล้วหรือทำบางส่วน / สีดำ: ยังไม่ได้ทำ,,,,,Timeframe,,,,,,,,,,,,,
,,,Central Platform for Users,"กลยุทธ์ 4.1.1 สร้างแพลตฟอร์มกลาง สำหรับการมีส่วนร่วมระหว่างผู้ให้บริการและผู้ใช้บริการภูมิอากาศ
Strategy 4.1.1 Develop central platform for users and providers collaboration","Set up Platform, including defining roles and coordination among agencies","กิจกรรม 4.1.1.1: จัดตั้งแพลตฟอร์มด้านการปรับตัวฯ เพื่อเชื่อมโยงผู้ใช้ สำหรับสาขาการตั้งถิ่นฐานของมนุษย์

Activity 4.1.1.1: Establish an Adaptation central platform connect users for the human settlements sector",,"ผลผลิต 4.1.1.1: แพลตฟอร์มกลางด้านการปรับตัว เชื่อมโยงผู้มีส่วนเกี่ยวข้องในสาขาการตั้งถิ่นฐานของมนุษย์

Output 4.1.1.1: Central adaptation platform connecting stakeholders in the human settlements sector",,,X,X,,• DCCE: กองขับเคลื่อนการปรับตัวต่อการเปลี่ยนแปลงสภาพภูมิอากาศ (กปอ.) กลุ่มพัฒนาข้อมูลความเสี่ยง,,,,,,,CSIS,• DCCE: โครงการพัฒนาแพลตฟอร์มกลางด้านการปรับตัวปี 70,,
,,"วัตถุประสงค์ 4.2: พัฒนาและดำเนินการระบบเตือนภัยล่วงหน้าแบบหลายภัยพิบัติบนพื้นฐานผลกระทบ ผ่านแพลตฟอร์มและช่องทางที่เข้าถึงได้
Objective 4.2: Develop and implement impact-based multi-hazard early warning systems through accessible platforms and channels.",,,,,,,,"ระบบเตือนภัยล่วงหน้าอิงผลกระทบแบบหลายภัยพิบัติที่พัฒนาและนำร่องใช้งาน (จำนวนภัยที่ครอบคลุม และจำนวนเมืองนำร่อง) และมีเกณฑ์เตือนภัยที่กำหนดแล้ว

Impact-based multi-hazard early warning system developed and piloted (number of hazards covered and pilot cities), with established warning thresholds",,,,,,,,"เอกสารเกณฑ์เตือนภัย, รายงานผลการนำร่อง EW4All, รายงานประเมินประสิทธิภาพการแจ้งเตือน

Warning threshold documentation, EW4All pilot reports, dissemination effectiveness evaluation","รายปี
Annual",,,,,
,,,Impact-Based Early Warning,"กลยุทธ์ 4.2.1 พัฒนาระบบพยากรณ์อากาศแบบอิงผลกระทบ และระบบเตือนภัยล่วงหน้าแบบหลายภัยพิบัติ เพื่อรองรับกรอบ EW4All

Strategy 4.2.1 Development of impact-based forecasting and multi-hazard early warning systems in alignment with the EW4All framework",Analyze existing data & set warning thresholds,"กิจกรรม 4.2.1.1: บูรณาการข้อมูลด้านภัยอันตราย ความล่อแหลม และความเปราะบาง เพื่อจัดทำเกณฑ์การแจ้งเตือนภัย

Activity 4.2.1.1: Integrate hazard, exposure, and vulnerability data to establish warning thresholds",,"ผลผลิต 4.2.1.1: ชุดเกณฑ์เตือนภัย (warning thresholds) สำหรับสาขาการตั้งถิ่นฐานของมนุษย์

Output 4.2.1.1: Set of warning thresholds for the human settlements sector",,,X,,,• TMD: กองพยากรณ์อากาศ (พอ.),DDPM,,,,,,,,,
,,,,,Develop short-term impact-based forecasting,"กิจกรรม 4.2.1.2: พัฒนาระบบพยากรณ์อากาศแบบอิงผลกระทบ (Impact-Based Forecasting) ระยะสั้น สำหรับภัยพิบัติสำคัญ ได้แก่ คลื่นความร้อน อุทกภัย ดินถล่ม วาตภัย และภัยแล้ง

Activity 4.2.1.2: Develop short-range Impact-Based Forecasting systems for key hazards, including heat waves, floods, landslides, storms, and droughts",,"ผลผลิต 4.2.1.2: แบบจำลองการพยากรณ์แบบอิงผลกระทบ (impact-based forecasting)

Output 4.2.1.2: Impact-based forecasting model",,,,X,,• TMD: ศูนย์ภูมิอากาศ,DCCE,,,,,,,,,
,,,,,Pilot early warning system for all,"กิจกรรม 4.2.1.3: ทดลองนำร่องระบบเตือนภัยล่วงหน้าสำหรับทุกคน (Early Warnings for All: EW4All) แบบครบวงจรในพื้นที่เมืองที่มีความเสี่ยงสูง

Activity 4.2.1.3: Pilot an end-to-end Early Warnings for All (EW4All) system in high-risk urban areas",,"ผลผลิต 4.2.1.3: ระบบเตือนภัยล่วงหน้าในเมืองนำร่องอย่างน้อย 1 พื้นที่ พร้อมรายงานผลการทดสอบ

Output 4.2.1.3: Early warning system in at least 1 pilot city, with a test results report",,,,X,,"• TMD: ศูนย์ภูมิอากาศ, กองพยากรณ์อากาศ (พอ.)",,,,,,,,,,
,,,,,Review the effectiveness of EWS,"กิจกรรม 4.2.1.4: ติดตามและประเมินผลประสิทธิภาพการเผยแพร่ข้อมูลแจ้งเตือนภัย

Activity 4.2.1.4: Monitor and evaluate the effectiveness of early warning dissemination",,"ผลผลิต 4.2.1.4: รายงานประสิทธิภาพการแจ้งเตือนภัย

Output 4.2.1.4: Report on the effectiveness of early warning dissemination",,,,X,,• TMD: กองพยากรณ์อากาศ (พอ.),DDPM,,,,,,,,,
,,"วัตถุประสงค์ 4.3: ส่งเสริมการสื่อสารและเผยแพร่บริการภูมิอากาศเพื่อการตัดสินใจในระดับชาติและระดับท้องถิ่น
Objective 4.3: Promote the communication and dissemination of climate services for decision-making at the national and local levels.",,,,,,,,"จำนวนเวทีปรึกษาหารือระดับชาติ/พื้นที่ที่จัด และร้อยละของผู้ใช้ที่พึงพอใจ/เข้าถึงบริการภูมิอากาศผ่านช่องทางที่ปรับปรุง

Number of national/sub-national consultation forums held, and % of users satisfied with / accessing climate services via improved channels",,,,,,,,"สรุปผลเวทีปรึกษาหารือ, รายงานประเมินความต้องการอบรม, ผลสำรวจความพึงพอใจผู้ใช้

Forum summaries, training-needs assessment reports, user satisfaction surveys","รายปี
Annual",,,,,
,,,Climate Services Communication,"กลยุทธ์ 4.3.1 การมีช่องทางรับฟังความคิดเห็น เพื่อปรับปรุงช่องทางและรูปแบบการสื่อสาร
Strategy 4.3.1 Establish feedback channels for improving communication channels and format",Hold regular national and sub-national forums/conferences to review climate services needs and co-design climate services,"กิจกรรม 4.3.1.1: จัดเวทีหารือและรับฟังความคิดเห็นอย่างสม่ำเสมอในระดับประเทศและระดับพื้นที่ เพื่อระบุความต้องการข้อมูล และบริการภูมิอากาศ

Activity 4.3.1.1: Convene regular national and sub-national consultation forums to identify data and climate services needs",,"ผลผลิต 4.3.1.1:
• เวทีปรึกษาหารือระดับชาติ พร้อมสรุปประเด็นความต้องการข้อมูล
• เวทีปรึกษาหารือระดับพื้นที่ พร้อมสรุปประเด็นความต้องการข้อมูล

Output 4.3.1.1:
• National consultation forum with a summary of data needs
• Sub-national consultation forum with a summary of data needs",,,X,X,X,• DCCE: กองขับเคลื่อนการปรับตัวต่อการเปลี่ยนแปลงสภาพภูมิอากาศ (กปอ.) กลุ่มพัฒนาข้อมูลความเสี่ยง,,,,,,,,• DCCE: โครงการจ้างที่ปรึกษาพัฒนาชุดข้อมูลองค์ความรู้ ความเสี่ยงและผลกระทบจากการเปลี่ยนแปลงสภาพภูมิอากาศของประเทศไทย (CRDB),,
,,,,,Assess training needs and organize trainings for users,"กิจกรรม 4.3.1.2: ประเมินความต้องการการฝึกอบรมสำหรับบริการภูมิอากาศสำหรับผู้ใช้งานข้อมูลปลายทาง

Activity 4.3.1.2: Undertake training needs assessment for climate services for end users",,"ผลผลิต 4.3.1.2: รายงานประเมินความต้องการฝึกอบรมสำหรับผู้ใช้ข้อมูลปลายทางในสาขาการตั้งถิ่นฐาน

Output 4.3.1.2: Training needs assessment report for end users in the human settlements sector",,,X,,,"• EWS: TMD ศูนย์ภูมิอากาศ, กองพยากรณ์อากาศ (พอ.), DDPM

• Platform: DCCE กองขับเคลื่อนการปรับตัวต่อการเปลี่ยนแปลงสภาพภูมิอากาศ (กปอ.) กลุ่มพัฒนาข้อมูลความเสี่ยง",,,,,,,,• DCCE: โครงการจ้างที่ปรึกษาพัฒนาชุดข้อมูลองค์ความรู้ ความเสี่ยงและผลกระทบจากการเปลี่ยนแปลงสภาพภูมิอากาศของประเทศไทย (CRDB),,
,,,,,Evaluate and improve the effectiveness of climate services platform,"กิจกรรม 4.3.1.3: ติดตามและประเมินประสิทธิภาพของบริการข้อมูลภูมิอากาศ

Activity 4.3.1.3: Monitor and evaluate the effectiveness of climate services",,"ผลผลิต 4.3.1.3: รายงานพร้อมข้อเสนอปรับปรุงระบบเผยแพร่

Output 4.3.1.3: Report with recommendations for improving the dissemination system",,,,X,X,• DCCE: กองขับเคลื่อนการปรับตัวต่อการเปลี่ยนแปลงสภาพภูมิอากาศ (กปอ.) กลุ่มพัฒนาข้อมูลความเสี่ยง,,,,,,,,,,
CD,"เป้าหมาย 5: เสริมสร้างการประสานงานระดับชาติและระดับท้องถิ่น บูรณาการนโยบายที่เกี่ยวข้อง และส่งเสริมความร่วมมือระหว่างประเทศ เพื่อสนับสนุนการพัฒนาบริการด้านภูมิอากาศที่เอื้อต่อการเสริมสร้างความยืดหยุ่นให้แก่การตั้งถิ่นฐานและความมั่นคงของมนุษย์
Goal 5: Strengthen national and subnational coordination, policy integration, and international cooperation to enable climate services for resilient human settlements and security.",,,,,,,,,,,,,,,,,,,,UIP,,,
,,"วัตถุประสงค์ 5.1: กำหนดโครงสร้างเชิงสถาบันและการประสานงานของ NFCS สาขาการตั้งถิ่นฐานของมนุษย์ รวมถึงกำหนดการประชุมเพื่อติดตามผลการดำเนินงาน
Objective 5.1: Establish institutional and coordination structures for the NFCS at the national and local levels.",,,,,,,,"มีกลไกประสานงานและโครงสร้างเชิงสถาบัน NFCS ที่จัดตั้งแล้ว พร้อมแผนปฏิบัติงานรายปีและการประชุมติดตามผลตามรอบ

Established NFCS institutional and coordination structure with an annual work plan and regular monitoring meetings held",,,,,,,,"คำสั่งแต่งตั้ง/เอกสารโครงสร้าง, แผนปฏิบัติงานรายปี, รายงานการประชุมติดตามผล

Establishment orders/structure documents, annual work plan, monitoring meeting minutes","รายปี
Annual",,,,,
,,,NFCS Institutional Structure,"กลยุทธ์ 5.1.1 กำหนดโครงสร้างเชิงสถาบันและการประสานงานของ NFCS สาขาการตั้งถิ่นฐานของมนุษย์ รวมถึงกำหนดการประชุมเพื่อติดตามผลการดำเนินงาน

Strategy 5.1.1 Define institutional structure and coordination mechanisms for NFCS in the human settlements sector, including regular meetings for monitoring implementation progress",Set up coordination mechanism,"กิจกรรม 5.1.1.1: จัดตั้งกลไกการประสานงานระหว่างหน่วยงาน สำหรับการดำเนินงาน NFCS ในสาขาการตั้งถิ่นฐานของมนุษย์

Activity 5.1.1.1: Establish inter-agency coordination mechanisms for NFCS implementation in the human settlements sector",,"ผลผลิต 5.1.1.1: กลไกประสานงานระหว่างหน่วยงานในสาขาการตั้งถิ่นฐานของมนุษย์

Output 5.1.1.1: Inter-agency coordination mechanism for the human settlements sector",,,X,,,"NFCS Working Group

คณะบูรณาการ",,,,,,,UIP,,,
,,,,,"Define agency roles and responsibilities, and joint develop annual work plan/ meetings","กิจกรรม 5.1.1.2: กำหนดบทบาทหน้าที่ของหน่วยงาน ผู้ประสานงาน และแผนปฏิบัติงานรายปี สำหรับการผลิต การแปลงข้อมูล การเผยแพร่ และการใช้บริการภูมิอากาศ

Activity 5.1.1.2: Define institutional mandates, focal points, and annual work plan for the production, transformation, dissemination, and use of climate services",,"ผลผลิต 5.1.1.2:
• เอกสารบทบาทหน้าที่ของแต่ละหน่วยงานในคณะทำงาน
• แผนปฏิบัติงานรายปี

Output 5.1.1.2:
• Document on the roles and responsibilities of each agency in the working group
• Annual work plan",,,X,,,NFCS Working Group,,,,,,,UIP,,,
,,"วัตถุประสงค์ 5.2: เสริมสร้างขีดความสามารถเชิงสถาบันและบุคลากรของคณะทำงาน โดยคำนึงถึงความเสมอภาคทางเพศและการมีส่วนร่วมทางสังคม
Objective 5.2: Strengthen institutional and human capacities of working groups, including integrating gender equality and social inclusion.",,,,,,,,"จำนวนหลักสูตร/ครั้งของการอบรมคณะทำงาน และจำนวนสมาชิกคณะทำงานที่ได้รับการเสริมศักยภาพ (จำแนกตามเพศ) โดยคำนึงถึง GESI

Number of training courses/sessions for working groups and number of members whose capacity was strengthened (sex-disaggregated), integrating GESI",,,,,,,,"แผน/ทะเบียนการอบรม, แบบประเมินผลการอบรม, รายงานเวทีการหารือ

Training plans/records, training evaluations, dialogue-forum reports","รายปี
Annual",,,,,
,,,NFCS Working Group Capacity Building,"กลยุทธ์ 5.2.1 เสริมสร้างขีดความสามารถของคณะทำงาน โดยคำนึงถึงความเสมอภาคทางเพศและการมีส่วนร่วมทางสังคม (GESI)

Strategy 5.2.1 Strengthen the capacity of working groups, with consideration for gender equality and social inclusion (GESI)",Develop training curriculum and organize training program,"กิจกรรม 5.2.1.1: จัดหลักสูตรฝึกอบรมในหัวข้อต่างๆเพื่อเสริมสร้างความร่วมมือระหว่างคณะทำงาน โดยคำนึงถึงความเสมอภาคทางเพศและการมีส่วนร่วมทางสังคม (GESI)

Activity 5.2.1.1: Develop difference training courses to strengthen collaboration between working groups, with consideration for gender equality and social inclusion (GESI)",,"ผลผลิต 5.2.1.1: แผนการฝึกอบรมสำหรับคณะทำงาน NFCS

Output 5.2.1.1: Training plan for the NFCS working groups",,,X,,,• DCCE: กองขับเคลื่อนการปรับตัวต่อการเปลี่ยนแปลงสภาพภูมิอากาศ (กปอ.) กลุ่มพัฒนาข้อมูลความเสี่ยง,,,,,,,,,,
,,,,,Establish forum for regular dialogue and coordination among working groups involved in NFCS implementation,"กิจกรรม 5.2.1.2: จัดตั้งเวทีการหารือและการประสานงานอย่างสม่ำเสมอระหว่างคณะทำงานที่เกี่ยวข้อง

Activity 5.2.1.2: Establish a forum for regular dialogue and coordination among the working groups",,"ผลผลิต 5.2.1.2: เวทีการประชุมระหว่างคณะทำงานที่จัดขึ้นอย่างสม่ำเสมอ

Output 5.2.1.2: Regular forum held among the working groups",,,X,X,X,• DCCE: กองขับเคลื่อนการปรับตัวต่อการเปลี่ยนแปลงสภาพภูมิอากาศ (กปอ.) กลุ่มพัฒนาข้อมูลความเสี่ยง,,,,,,,,,,
,,"วัตถุประสงค์ 5.3: เสริมสร้างความร่วมมือเชิงหุ้นส่วนและแลกเปลี่ยนองค์ความรู้ระหว่างหน่วยงานและภาคส่วนที่เกี่ยวข้องภายในประเทศ รวมทั้งกับเครือข่ายด้านบริการภูมิอากาศในระดับนานาชาติ
Objective 5.3: Strengthen partnerships and knowledge exchange among relevant domestic agencies and sectors, as well as with international climate service networks.",,,,,,,,"จำนวนข้อตกลงความร่วมมือกับภาคเอกชนในประเทศและองค์กรระหว่างประเทศ และจำนวนเวทีระดับภูมิภาค/นานาชาติที่เข้าร่วม

Number of partnership agreements with the domestic private sector and international organizations, and number of regional/international forums participated in",,,,,,,,"ข้อตกลง/MoU ความร่วมมือ, รายงานการเข้าร่วมเวที และข้อเสนอการนำบทเรียนไปใช้

Partnership agreements/MoUs, forum participation reports with lessons-learned recommendations","รายปี
Annual",,,,,
,,,Domestic & International Partnerships,"กลยุทธ์ 5.3.1 พัฒนาความร่วมมือและสร้างเครือข่ายในประเทศ รวมทั้งองค์กรระดับภูมิภาค และระหว่างประเทศ

Strategy 5.3.1 Develop partnerships and networks with domestic, regional, and international organizations",Develop partnership with the domestic private sectors to support cooperation,"กิจกรรม 5.3.1.1: พัฒนากรอบความร่วมมือ สำหรับความร่วมมือทางวิชาการ การวิจัย การฝึกอบรมกับภาคเอกชนในประเทศ

Activity 5.3.1.1: Develop partnership arrangements for technical cooperation, research, and training with domestic private sectors",,"ผลผลิต 5.3.1.1: ข้อตกลงความร่วมมือกับภาคเอกชน

Output 5.3.1.1: Partnership agreement with the private sector",,,X,,,• DCCE: กองขับเคลื่อนการปรับตัวต่อการเปลี่ยนแปลงสภาพภูมิอากาศ (กปอ.) กลุ่มพัฒนาข้อมูลความเสี่ยง,,,,,,,,,,
,,,,,Develop partnership with international organizations for technical cooperation and funding access,"กิจกรรม 5.3.1.2: พัฒนากรอบความร่วมมือ สำหรับความร่วมมือทางวิชาการ การวิจัย การฝึกอบรม และการเข้าถึงแหล่งเงินทุนกับหน่วยงานต่างประเทศ

Activity 5.3.1.2: Develop partnership arrangements for technical cooperation, research, training, and funding access with international organizations",,"ผลผลิต 5.3.1.2: ข้อตกลงความร่วมมือกับหน่วยงานต่างประเทศ

Output 5.3.1.2: Partnership agreement with international organizations",,,X,,,• DCCE: กองขับเคลื่อนการปรับตัวต่อการเปลี่ยนแปลงสภาพภูมิอากาศ (กปอ.) กลุ่มพัฒนาข้อมูลความเสี่ยง,,,,,,,,,,
,,,,,Join regional and international forums,"กิจกรรม 5.3.1.3: เข้าร่วมเวทีบริการภูมิอากาศระดับภูมิภาคและระดับนานาชาติ รวมถึงกิจกรรมแลกเปลี่ยนทางเทคนิค

Activity 5.3.1.3: Participate in regional and international climate services forums and technical exchange activities",,"ผลผลิต 5.3.1.3: รายงานการเข้าร่วมเวทีระดับภูมิภาค และข้อเสนอการนำบทเรียนมาปรับใช้

Output 5.3.1.3: Report on participation in regional forums, with recommendations for applying lessons learned",,,X,X,X,• DCCE: กองขับเคลื่อนการปรับตัวต่อการเปลี่ยนแปลงสภาพภูมิอากาศ (กปอ.) กลุ่มพัฒนาข้อมูลความเสี่ยง,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
, ,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
, ,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
, ,,,,,,,,,,,,,,,,,,,,,,,
, ,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
