req_id,node,node_name,sitemap_node_id,requirement_en,requirement_th,status,status_before_correction,corrected_2026_08_12,handling,handling_label,deliverable,service_brief,data_spec,reporting_tag,matched_asset_ids,matched_asset_names,match_rationale,uncovered_subtopics,note
REQ-042,3.2,"Risk, impact chains, loss and damage",SIT-3.2.2.1,Slow-onset hazard statistics,รายงานสถิติและการประเมินภัยคุกคามระยะยาวที่เกิดขึ้นอย่างช้าๆ (การเพิ่มขึ้นของอุณหภูมิเฉลี่ย การเปลี่ยนแปลงคาบการกระจายน้ำฝน),GAP,GAP,,D,Ready to build,DEL-4,,DS-02,"5, MUST",,,,,"one page with REQ-043/044/045 (Slow-Onset Hazards Profile, sitemap node 3.2.2.1); trend view shares DS-02 backend with DEL-1"
REQ-043,3.2,"Risk, impact chains, loss and damage",SIT-3.2.2.1,Sea level rise along the coast,ข้อมูลอัตราการเพิ่มขึ้นของระดับน้ำทะเล (Sea-Level Rise) ตลอดแนวชายฝั่งไทยและบริเวณอ่าวไทย,PARTIAL,PARTIAL,,D,Ready to build,DEL-4,,DS-07,"5, MUST",MD_1_2,ข้อมูลระดับน้ำทะเล [Unknown/Restricted/Baseline-Draft],"WP2 data catalog v4 (MD_1_2): annual sea-level observation dataset explicitly tagged related_hazards=Sea-level Rise, source Marine Department Hydrology Group, national coverage through 2026. Raw annual level readings, not a computed rate-of-rise statistic; access rights Restricted. A-BTR Section B gives real, citable interim rates while MD_1_2 access is resolved: B-072 (16.4 ± 0.85 mm/yr at Fort Phrachul 1951-1991; ~6mm/yr Thai coast average 1940-2014), B-074 (3.0-5.5 mm/yr recent Gulf of Thailand rate), B-076 (~2mm/yr projected SSP2-4.5, >5mm/yr SSP5-8.5 by end-century).","Real annual sea-level observation data exists but is raw readings, not a derived rate-of-rise statistic; access Restricted. A-BTR gives citable rates, not the underlying raw dataset.","static explainer committed now; rate derivation is a budget-contingent stretch item, part of the consolidated Slow-Onset Hazards Profile; A-BTR Section B rates added 2026-08-14 so the static explainer can ship with real numbers before MD_1_2 access clears"
REQ-044,3.2,"Risk, impact chains, loss and damage",SIT-3.2.2.1,Land subsidence and salinity intrusion,ข้อมูลการทรุดตัวของแผ่นดิน (Land Subsidence) ในเขตกรุงเทพมหานครและปริมณฑล และการหนุนของน้ำเค็ม (Salinity Intrusion),PARTIAL,GAP,YES,D,Ready to build,DEL-4,,DS-04,"5, MUST",,,"A-BTR Section B gives real, citable subsidence figures for the Bangkok half of this requirement: B-073 (Bangkok relative sea-level rise ~0.021 m/yr before groundwater regulation, ~0.013 m/yr after, subsidence-amplified) and B-040 (Bangkok compound flood risk from 0.5-1.5m elevation plus subsidence). No asset ID in either registry -- this is narrative/report content, not a registered dataset.","Salinity intrusion remains fully uncovered by any source checked, A-BTR included -- this half of the requirement is still a genuine gap needing external source establishment.","one page with REQ-042/043/045 (Slow-Onset Hazards Profile); subsidence half moved GAP to PARTIAL 2026-08-14 after A-BTR Section B was cross-referenced; salinity half remains a deferred stretch item needing external agreements"
REQ-045,3.2,"Risk, impact chains, loss and damage",SIT-3.2.2.1,Coastal erosion index and beach area loss,ดัชนีการกัดเซาะชายฝั่งและการสูญเสียพื้นที่ชายหาดเชิงสถิติ,PARTIAL,PARTIAL,,D,Ready to build,DEL-4,,DS-07,"5, SHOULD",MED-127;MED-128;MED-129;MED-130;MED-133;MED-134;MED-135;MED-136;MED-137;DMCR_1_1;DMCR_4_1,ชายฝั่งในภาวะโลกรวน : หากอยากปรับตัวให้รอด ต้องอาศัยความร่วม | ชายฝั่งในภาวะโลกรวน : 4 จังหวัดฝั่งอ่าวไทย ปรับตัวต่อโลกรวนอ | ชายฝั่งในภาวะโลกรวน : แก้ปัญหาอย่างเนียนไปกับธรรมชาติ (Clima | ชายฝั่งในภาวะโลกรวน : ตั้งรับ ยืดหยุ่น ปรับตัวต่อการเปลี่ยนแ | ชายฝั่งในภาวะโลกรวน : กระทบที่อยู่ ปากท้อง และทรัพยากรในท้อง | ชายฝั่งในภาวะโลกรวน : 24 จังหวัดทะเลไทยแปรปรวน รวน ร้อน (Cli | ชายฝั่งในภาวะโลกรวน : ชายฝั่งเอเชียตะวันออกเฉียงใต้ เปราะบาง | ชายฝั่งในภาวะโลกรวน  ปะการังอาจตายหมดหากโลกร้อนกว่านี้ (Clim | ชายฝั่งในภาวะโลกรวน : จากภัยพิบัติบนฝั่งถึงวิกฤตใต้ทะเล (Cli | พื้นที่กัดเซาะชายฝั่ง (WebGIS DCCE) [Unknown/Restricted/Baseline-Draft] | พื้นที่กัดเซาะชายฝั่ง (DMCR ภาคสนาม) [Unknown//Baseline-Draft],"Coastal-climate-impact infographic series (Gulf of Thailand coastal provinces); coastal adaptation/impact infographics (9 pieces, narrative only). WP2 data catalog v4 update: DMCR_1_1 (WebGIS) and DMCR_4_1 (field-verified) provide real annual, area-based (km2) coastal erosion extent data, explicitly tagged related_hazards=Coastal erosion, at national and province granularity respectively.","Real quantitative erosion-extent data exists (DMCR_1_1/4_1), not just narrative infographics as previously recorded -- but it is raw area figures, not a pre-built statistical index, so PARTIAL (not FULL) still holds. A-BTR Section B (B-095) adds a citable interim figure: more than 77 sub-districts affected 2019-2024, worst loss in Bang Tawa Sub-district, Pattani.","one page with REQ-042/043/044 (Slow-Onset Hazards Profile); static explainer committed, index computation is a budget-contingent stretch item; A-BTR B-095 cross-referenced 2026-08-14"
REQ-046,3.2,"Risk, impact chains, loss and damage",SIT-3.2.3,Multi-hazard impact chain diagram,แผนภูมิแสดงแนวคิดผลกระทบเชื่อมโยงแบบลูกโซ่ (Multi-hazard Impact Chain Analysis),FULL,FULL,,A,Already covered,,,,"2, MUST",PUB-012;MED-125;MED-048,คู่มือการจัดทำห่วงโซ่ผลกระทบจากการเปลี่ยนแปลงสภาพภูมิอากาศ | คู่มือการจัดทำห่วงโซ่ผลกระทบจากการเปลี่ยนแปลงสภาพภูมิอากาศ | เจาะลึกห่วงโซ่ผลกระทบ &#8220;น้ำท่วมหาดใหญ่ 2025&#8221; : มา,Impact-chain methodology manual;Media reprint of the impact-chain manual;Case study applying impact-chain analysis to the 2025 Hat Yai flood,,existing asset
REQ-047,3.2,"Risk, impact chains, loss and damage",SIT-3.2.3,"Impact chain case studies, agriculture and urban",กรณีศึกษาแบบจำลอง Impact Chain ในภาคส่วนเกษตรกรรมและการตั้งถิ่นฐานเมือง,PARTIAL,PARTIAL,,D,Ready to build,DEL-7,,,,MED-048,เจาะลึกห่วงโซ่ผลกระทบ &#8220;น้ำท่วมหาดใหญ่ 2025&#8221; : มา,In-depth case study of the 2025 Hat Yai flood using impact-chain analysis (urban/flood context),Agriculture-sector impact-chain case study not represented — matched asset only covers the urban/flood (Hat Yai) case.,
REQ-048,3.2,"Risk, impact chains, loss and damage",SIT-3.2.4,Loss and damage framework under the UNFCCC,กรอบทฤษฎี Loss and Damage ภายใต้กรอบอนุสัญญา UNFCCC,PARTIAL,PARTIAL,,D,Ready to build,DEL-6,,,"5, MUST",PUB-026,กองทุนจัดการความสูญเสียและความเสียหายจากสภาพภูมิอากาศ (FRLD),FRLD fund publication is grounded in the UNFCCC Loss & Damage framework,No dedicated L&D theoretical-framework document exists — matched asset is a funding-mechanism page,
REQ-049,3.2,"Risk, impact chains, loss and damage",SIT-3.2.4,Historical loss dashboard,แดชบอร์ดสรุปสถิติความสูญเสียทางเศรษฐกิจและทางกายภาพจากภัยสภาพอากาศในอดีต,PARTIAL,PARTIAL,,C,Loss and damage,,,,"5, MUST",MED-050;DDPM_3_2;DDPM_2_3;RFD_1_2,รายงานฉบับสมบูรณ์ (Final report) การประเมินเบื้องต้นต่อสถานภ | มูลค่าความเสียหายจากภัยแล้ง [Province/Restricted/Baseline-Draft] | ข้อมูลความเสียหายของทรัพย์สิน (ถนน ปศุ [Mooban/Restricted/Baseline-Draft] | อัตราการสูญเสียพื้นที่ป่าในระยะเวลา 5  [Province/Restricted/Baseline-Draft],"DCCE-commissioned assessment report (MED-050) gives narrative context. WP2 data catalog v4 update: DDPM_3_2 (drought damage value, THB/year, national+province), DDPM_2_3 (property damage counts/THB, flagged by its own source as delayed/miscategorized data needing AI cleanup), RFD_1_2 (5-year forest-loss rate by province) are real machine-readable annual loss records -- genuine dashboard-capable raw data, not just a static report as previously recorded.","Real structured per-hazard loss records exist (mostly Restricted access, self-flagged data-quality issues) but nothing aggregates them into one cross-hazard economic+physical dashboard view -- PARTIAL still holds, evidence base upgraded.","MUST priority per sitemap v8; shares its DDPM source data with REQ-001's disaster-statistics product (DEL-12) — see Loss and Damage entry, Appendix B"
REQ-050,3.2,"Risk, impact chains, loss and damage",SIT-3.2.4,Non-economic loss records,การบันทึกสถิติความสูญเสียที่ไม่ใช่เศรษฐกิจ (สุขภาพจิต ความหลากหลายทางชีวภาพ มรดกวัฒนธรรมที่สูญหาย),PARTIAL,PARTIAL,,C,Loss and damage,,,,"5, SHOULD",MED-108;MED-150,การคาดการณ์ผลกระทบต่อความหลากหลายทางชีวภาพภายใต้อุณหภูมิที่ส | คู่มือกิจกรรมสิ่งแวดล้อมศึกษา การเปลี่ยนแปลงสภาพภูมิอากาศและ,Media piece on biodiversity impacts under rising temperature (non-economic loss category);Environmental-education manual covering climate change and biodiversity loss,Mental health impacts and cultural heritage loss are not covered — both matched assets address biodiversity loss only.,"SHOULD priority per sitemap v8 — see Loss and Damage entry, Appendix B"
REQ-051,3.2,"Risk, impact chains, loss and damage",SIT-3.2.5,National risk and loss calculation manual,ระเบียบวิธีและเอกสารมาตรฐาน (Manuals) การประเมินความเสี่ยง ผลกระทบ และการคำนวณ Loss and Damage ของหน่วยงานรัฐ,PARTIAL,PARTIAL,,C,Loss and damage,,,,"5, MUST",PUB-012;MED-125,คู่มือการจัดทำห่วงโซ่ผลกระทบจากการเปลี่ยนแปลงสภาพภูมิอากาศ | คู่มือการจัดทำห่วงโซ่ผลกระทบจากการเปลี่ยนแปลงสภาพภูมิอากาศ,Impact-chain manual is the closest existing standardized risk/impact assessment methodology document (no dedicated L&D calculation manual exists),No dedicated Loss & Damage calculation manual exists — matched asset (impact-chain manual) covers risk/impact methodology only,"MUST priority per sitemap v8 — see Loss and Damage entry, Appendix B"
REQ-052,3.3,Adaptation planning and measures,SIT-3.3.1,Cost-benefit and avoided losses methodology,ระเบียบวิธีประเมินต้นทุนและผลประโยชน์ (Cost-Benefit Analysis) และ Avoided Losses Calculus,GAP,GAP,,E,Awaiting decision,,E-1,,"3, MUST",,,,,gated on unchosen service — S3 finance
REQ-053,3.3,Adaptation planning and measures,SIT-3.3.1,Gender equality and social inclusion guidance,แนวปฏิบัติการบูรณาการมิติด้านเพศวิถี ความเท่าเทียมทางเพศ และสิทธิมนุษยชนในมาตรการปรับตัว (GESI),PARTIAL,GAP,YES,D,Ready to build,DEL-9,,,"3, SHOULD",,,"A-BTR Section A names the Gender Equality Act, Child Protection Act, Older Persons Act, and Persons with Disabilities Empowerment Act as the legal grounding for gender-responsive and inclusive adaptation.","Legal/rights framing only -- the practical, stage-by-stage steps for designing an adaptation measure inclusively still need writing from scratch.","status corrected GAP to PARTIAL 2026-08-14 after A-BTR Section A was cross-referenced (already applied to storyboard node 3.3.1 on 2026-08-14)"
REQ-054,3.3,Adaptation planning and measures,SIT-3.3.1,Protection measures for vulnerable groups,ข้อมูลมาตรการคุ้มครองและช่วยเหลือกลุ่มเปราะบาง (เด็ก ผู้สูงอายุ ผู้พิการ ชุมชนชายแดน/ชายฝั่ง),PARTIAL,PARTIAL,,D,Ready to build,DEL-9,,,"3, SHOULD",MED-002,ซูเปอร์เอลนีโญกับสุขภาพคนไทย ปกป้องชีวิตและกลุ่มเปราะบาง ท่า,"Media piece on protecting vulnerable groups (health) during extreme heat — topically adjacent, not a protection-measures inventory","None of the four named groups (children, elderly, disabled, border/coastal communities) have dedicated coverage — matched asset is only topically adjacent (general heat-health vulnerability), not a protection-measures inventory.",
REQ-055,3.3,Adaptation planning and measures,SIT-3.3.1,Local wisdom and cultural heritage in adaptation,การประยุกต์ใช้ภูมิปัญญาท้องถิ่น องค์ความรู้ดั้งเดิม และมรดกทางวัฒนธรรมในการปรับตัวของชุมชน,GAP,GAP,,D,Ready to build,DEL-9,,,"3, SHOULD",,,,,
REQ-056,3.3,Adaptation planning and measures,SIT-3.3.2,National adaptation strategy roadmap,แผนภาพและเส้นทางกลยุทธ์การดำเนินงาน (NAP Roadmap Execution Staging),FULL,FULL,,A,Already covered,,,,"3, MUST",PUB-009;DAT-021,แผนการปรับตัวต่อการเปลี่ยนแปลงสภาพภูมิอากาศแห่งชาติ (Thailan | แผนการปรับตัวต่อการเปลี่ยนแปลงสภาพภูมิอากาศแหงชาติ,National Adaptation Plan document and dataset — source for roadmap/staging content,,existing asset
REQ-057,3.3,Adaptation planning and measures,SIT-3.3.2,Report on systemic barriers by sector,รายงานอุปสรรคเชิงระบบจำแนกรายสาขา (Systemic Barriers: ข้อจำกัดด้านข้อมูล ปัญหาการประสานงานเชิงสถาบัน อุปสรรคด้านทรัพยากรการเงิน),PARTIAL,GAP,YES,D,Ready to build,DEL-8,,,"3, MUST",,,"A-BTR Section C (priorities, barriers and strategy) already frames systemic barriers across the full planning-to-reporting cycle -- C-017 (gaps span the full implementation and reporting cycle despite existing frameworks) and C-018 (gaps span planning, measure design, budget allocation, implementation, M&E, and reporting).","Barriers still need confirming and expanding sector by sector with a named source each, per the requirement's own done-when criteria -- A-BTR gives the starting inventory, not the finished sector-by-sector report.","status corrected GAP to PARTIAL 2026-08-14 after A-BTR Section C was cross-referenced (already applied to storyboard node 3.3.2 on 2026-08-14)"
REQ-058,3.3,Adaptation planning and measures,SIT-3.3.2,"Financial, technology and capacity support needs",รายการความต้องการความช่วยเหลือและการสนับสนุนทางการเงิน เทคโนโลยี และการพัฒนาขีดความสามารถ,PARTIAL,PARTIAL,,E,Awaiting decision,,E-1,,"3, MUST",MED-079;PUB-027;PUB-028;PUB-029,คู่มือ แหล่งทุนด้านการเปลี่ยนแปลงสภาพภูมิอากาศ | กองทุนด้านการปรับตัวต่อผลกระทบจากการเปลี่ยนแปลงสภาพภูมิอากาศ | กองทุนภูมิอากาศสีเขียว (GCF) | กองทุนสิ่งแวดล้อมโลก (GEF),DCCE funding-source guide;Adaptation Fund publication;GCF publication;GEF publication,Technology support and capacity-building support are not covered — matched assets are all financial funding sources only.,gated on unchosen service — S3 finance
REQ-059,3.3,Adaptation planning and measures,SIT-3.3.2,Personnel development for climate fund proposals,ความต้องการการพัฒนาบุคลากรในการเขียนข้อเสนอโครงการเพื่อขอรับทุนสนับสนุนภูมิอากาศโลก,GAP,GAP,,E,Awaiting decision,,E-1,,"3, SHOULD",,,,,gated on unchosen service — S3 finance
REQ-060,3.3,Adaptation planning and measures,SIT-3.3.3,Searchable measures database,ระบบสืบค้นและคัดกรองมาตรการเชิงเทคนิคและนโยบาย (Searchable Database) จำแนกตามภัย ภาคส่วน และงบประมาณ,GAP,GAP,,D,Ready to build,DEL-10,,DS-09,,,,,,
REQ-061,3.3,Adaptation planning and measures,SIT-3.3.3,Grey infrastructure and nature-based measures,รายการมาตรการแบบผสมผสานระหว่างมาตรการวิศวกรรมโครงสร้าง (Grey Infrastructure) และ Nature-based Solutions (NBS),PARTIAL,PARTIAL,,D,Ready to build,DEL-10,,DS-09,,DAT-022;MED-042;VID-036,ชุดเเนวทางการปรับตัวต่อการเปลี่ยนเเปลงสภาพภูมิอากาศโดยใช้เเน | แนวทางการแก้ปัญหาโดยอาศัยธรรมชาติเป็นฐาน (NbS) : Nature-Base | รู้ไหม? ธรรมชาติก็เป็นนักแก้ปัญหาตัวยง!.มารู้จัก “Nature-bas,NbS (nature-based solutions) adaptation guidance dataset;Media explainer on Nature-Based Solutions;Video explainer on Nature-Based Solutions,Grey/structural infrastructure measures not covered at all — all three matched assets address Nature-based Solutions only.,
REQ-062,3.3,Adaptation planning and measures,SIT-3.3.4,Repository of local and private sector plans,คลังข้อมูลแผนจัดการความเสี่ยงสภาพภูมิอากาศและนโยบายเชิงสถาบันของท้องถิ่นและภาคเอกชน,GAP,GAP,,E,Awaiting decision,,E-3,,,,,,,gated on unchosen service — S7 institutional tracking
REQ-063,3.3,Adaptation planning and measures,SIT-3.3.5,National adaptation project tracking,ระบบติดตามสถานะและการดำเนินงานโครงการปรับตัวของประเทศ (โครงการประกันภัยพืชผล Agri-Map การปรับปรุงโครงสร้างควบคุมน้ำ),GAP,GAP,,E,Awaiting decision,,E-3,,"4, SHOULD",,,,,gated on unchosen service — S7 institutional tracking
REQ-064,3.3,Adaptation planning and measures,SIT-3.3.5,Budget readiness indicators,ตัวชี้วัดความพร้อมของโครงการงบประมาณ,GAP,GAP,,E,Awaiting decision,,E-1,,,,,,,gated on unchosen service — S3 finance
REQ-065,3.4,Monitoring and evaluation,SIT-3.4.1,Technology readiness framework,กรอบการวิเคราะห์ระดับความก้าวหน้าทางเทคโนโลยีและนวัตกรรมปรับตัว (Technology Readiness Levels),FULL,FULL,,A,Already covered,,,,"4, SHOULD",DAT-014;MED-016;MED-019,ข้อมูลการประเมินผลการปรับตัวต่อการเปลี่ยนแปลงสภาพภูมิอากาศ | เริ่มอย่างไรกับแนวทางการทำระบบติดตามประเมินผล (Monitoring &a | ระบบ M&amp;E เครื่องมือวัดความรอดในยุคโลกรวน กรณีศึกษาระบบติ,"Part of DCCE's live Adaptation M&E platform holdings (dgf.dcce.go.th/dataset/m-and-e) and its supporting M&E methodology media series -- assumed covered as part of the confirmed, actively maintained M&E system rather than checked as a standalone document match.",,existing asset
REQ-066,3.4,Monitoring and evaluation,SIT-3.4.1,Link to global goal on adaptation indicators,ความเชื่อมโยงกับตัวชี้วัดเป้าหมายการปรับตัวระดับโลก (Global Goal on Adaptation Indicators),FULL,FULL,,A,Already covered,,,,"4, MUST",MED-024;MED-049,Global Goal on Adaptation (GGA) Indicator กับการปรับตัวของไท | รู้จัก 59 ตัวชี้วัด &#8220;เบเล็ง&#8221; (Belém Indicators) ,Media piece specifically on the Global Goal on Adaptation (GGA) Indicators and Thailand's alignment;Media piece on the 59 Belem Indicators for the GGA framework,,existing asset
REQ-067,3.4,Monitoring and evaluation,SIT-3.4.2,National monitoring and evaluation tracker,ดัชนีติดตามความก้าวหน้าและระดับการลดความเปราะบางรายภาคส่วนและรายจังหวัด (National M&E Tracker),FULL,FULL,,A,Already covered,,,,"4, MUST",DAT-014,ข้อมูลการประเมินผลการปรับตัวต่อการเปลี่ยนแปลงสภาพภูมิอากาศ,"DAT-014 verified directly against DCCE's live Data Governance Framework catalog (dgf.dcce.go.th/dataset/m-and-e) -- a real, current dataset maintained by DCCE's dedicated Adaptation M&E Evaluation Group, linked to Thailand's official Biennial Transparency Report (BTR1) submitted under the UNFCCC, tagged monitoring/evaluation/vulnerability, last updated March 2026. Its earlier absence from the WP2 260-row data_catalog_v4.csv extract does not mean it doesn't exist -- that extract is a curated subset for a different work package, not DCCE's full inventory.",,existing asset
REQ-068,3.4,Monitoring and evaluation,SIT-3.4.3,Successful project case study library,คลังบทเรียนโครงการเด่น ถอดบทเรียนความสำเร็จ อุปสรรค และแนวทางปฏิบัติที่เป็นเลิศ,FULL,FULL,,A,Already covered,,,,"6, SHOULD",MED-008;MED-009;MED-010;MED-011;MED-012;MED-013;MED-014;MED-017,ถอดรหัสความสำเร็จจากพื้นที่ต้นแบบทั้ง 6 สาขา ปัจจัยสู่ความเข | โครงการจัดทำระบบติดตามประเมินผลการปรับตัวต่อการเปลี่ยนแปลงสภ | โครงการจัดทำระบบติดตามประเมินผลการปรับตัวต่อการเปลี่ยนแปลงสภ | โครงการจัดทำระบบติดตามประเมินผลการปรับตัวต่อการเปลี่ยนแปลงสภ | โครงการจัดทำระบบติดตามประเมินผลการปรับตัวต่อการเปลี่ยนแปลงสภ | โครงการจัดทำระบบติดตามประเมินผลการปรับตัวต่อการเปลี่ยนแปลงสภ | โครงการจัดทำระบบติดตามประเมินผลการปรับตัวต่อการเปลี่ยนแปลงสภ | ก้าวสำคัญของการรับมือโลกร้อน “โครงการจัดทำระบบติดตามประเมินผ,Media piece distilling cross-sector adaptation success factors;Good-practice case study — human settlements sector;Good-practice case study — natural resources sector;Good-practice case study series (M&E project lesson extraction);Good-practice case study series (M&E project lesson extraction);Good-practice case study series (M&E project lesson extraction);Good-practice case study series (M&E project lesson extraction);Media wrap-up of the adaptation M&E lesson-extraction project,,existing asset
REQ-069,4.1,Data catalog,SIT-4.1,Searchable data catalog and metadata,ระบบสืบค้นชุดข้อมูลดิบ (Raw Datasets) ผลิตภัณฑ์วิเคราะห์ข้อมูล และข้อมูลอธิบาย (Metadata Directory) ตามเกณฑ์มาตรฐานความมั่นคงปลอดภัย,FULL,FULL,,A,Already covered,,,,,SYS-002;PUB-051;PUB-052,ระบบบัญชีข้อมูล (Data Catalog) กรมการเปลี่ยนแปลงสภาพภูมิอากา | บัญชีข้อมูล (Data Catalogue) | คู่มือแนวทางปฏิบัติการจัดทำธรรมาภิบาลข้อมูล (Data Governance,Live DCCE Data Catalog system (dgf.dcce.go.th) — the actual metadata/dataset directory;Data Catalogue publication describing the catalog;Data Governance manual covering catalog/metadata standards,,"not zero-effort — CRDB provides only an initial inventory seed; final catalog scope/content needs next-project approval"
REQ-070,4.2,Visualisation and analytics,SIT-4.2,Visualisation and analytics application,ระบบโปรแกรมประยุกต์แสดงแผนที่ภัยและวิเคราะห์ความเสี่ยงเชิงโต้ตอบ สำหรับดึงตัวแปรไปใช้งานวิศวกรรมโยธา (ค่าคาดการณ์ปริมาณฝนและอุณหภูมิระดับแปลง Design Curves/IDF Curves),PARTIAL,PARTIAL,,B,Product surface (launch) + engineering deferred,DEL-13,E-4,,"2, MUST",SYS-003;DAT-005,ฐานข้อมูลความเสี่ยงจากการเปลี่ยนแปลงสภาพภูมิอากาศ | ข้อมูลความเสี่ยงจากการเปลี่ยนแปลงสภาพภูมิอากาศ,"Existing risk map web application is the closest current interactive risk visualization tool and ships at launch via DEL-13. WP2 data catalog v4 confirms general spatial risk data exists (DCCE_3_x composite indices, HAZARD_MAP rows) to support the map/visualization component. But an explicit search for IDF (Intensity-Duration-Frequency) or Design Curve data across all 260 catalog rows returned zero matches -- the plot-level civil-engineering deliverable named in the requirement has no data backing in either inventory, and will not be built from SYS-003's composite index, which serves a different purpose.","IDF/design-curve engineering outputs remain a confirmed GAP, not zero-effort: real, needed work, explicitly out of scope for this platform's launch. Deferred to a future project as its own workstream (Brief E-4), requiring new methodology and new rainfall/temperature data.","product surface: viz/analytics app ships at launch (DEL-13, SYS-003) — data adequacy unassessed; IDF/design-curve engineering component confirmed deferred to a future project, not part of this build, not sourced from SYS-003; native-hosted for migrated + new strategic products (DEL-12, DEL-13, Loss and Damage, DEL-1), link-out for non-DCCE tools"
REQ-071,4.3,External tools and data hub,SIT-4.3,Curated links to external data portals,ลิงก์ไปยังพอร์ทัลข้อมูลระดับสากลและพอร์ทัลเฉพาะทาง (TMD Weather API GISTDA Geo-Informatics Portal Copernicus Climate Data Store),GAP,GAP,,D,Ready to build,DEL-14,,,,,,,,"Converted from a live-connection build to a curated links page -- content compilation task, no partnership agreement or API integration required to launch."
REQ-072,5.1,Announcements and activities,SIT-5.1,Announcements and training distribution,ระบบกระจายข่าวสารการอัปเดตข้อมูล กิจกรรมอบรมเชิงปฏิบัติการ (Workshops) ในการวิเคราะห์และตีความข้อมูลสภาพภูมิอากาศเพื่อการวางแผนเชิงพื้นที่,FULL,FULL,,A,Already covered,,,,,SYS-004;PUB-049,ระบบสัมมนาและฝึกอบรมด้านสิ่งแวดล้อม | ข่าวสารประชาสัมพันธ์,DCCE seminar/training system (datacenter.dcce.go.th/training);DCCE public-relations news publication channel,,existing asset
REQ-073,5.2,Feedback and user services,SIT-5.2,Feedback platform for user agencies,แพลตฟอร์มรับเสียงสะท้อนจากหน่วยงานผู้ใช้งานในแบบที่เป็นระบบเพื่อปรับปรุงคุณภาพชุดข้อมูล ขยายขอบเขตการบริการ และทวนสอบการตอบสนองความต้องการเชิงสถาบัน,GAP,GAP,,D,Ready to build,DEL-11,,DS-11,,,,,,
